ime,panoga,leto_ustanovitve,stevilo_zaposlenih
ICBC,Banking,1984,445106
China Construction Bank,Banking,1954,352621
JPMorgan Chase,Diversified Financials,2000,256981
Berkshire Hathaway,Diversified Financials,1955,391500
Agricultural Bank of China,Banking,1979,464011
Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,1933,69867
Bank of America,Banking,1904,208000
Apple,Technology Hardware & Equipment,1976,137000
Bank of China,Banking,1929,311133
AT&amp;T,Telecommunications Services,1876,246000
Toyota Motor,Consumer Durables,1937,370870
Alphabet,IT Software & Services,1998,118899
ExxonMobil,Oil & Gas Operations,1999,74900
Microsoft,IT Software & Services,1975,144000
Samsung Electronics,Technology Hardware & Equipment,1938,105257
Wells Fargo,Banking,1852,259800
Citigroup,Diversified Financials,1812,200000
Walmart,Retailing,1962,2200000
Verizon Communications,Telecommunications Services,1983,135000
Royal Dutch Shell,Oil & Gas Operations,1907,83000
Amazon,Retailing,1994,798000
Volkswagen Group,Consumer Durables,1937,671205
UnitedHealth Group,Insurance,1977,325000
Allianz,Insurance,1890,147268
China Merchants Bank,Banking,2009,84683
Comcast,Media,1963,190000
China Mobile,Telecommunications Services,1997,456239
Total,Oil & Gas Operations,1924,107776
Postal Savings Bank Of China (PSBC),Drugs &amp; Biotechnology,1886,132200
Alibaba Group,Retailing,1999,66421
Gazprom,Oil & Gas Operations,1989,466100
PetroChina,Oil & Gas Operations,1999,476223
Johnson &amp; Johnson,Drugs &amp; Biotechnology,1886,132200
RBC,Banking,1864,85000
Walt Disney,Media,1923,223000
China Life Insurance,Insurance,2003,103826
Intel,Semiconductors,1968,110800
Facebook,IT Software & Services,2004,44942
CVS Health,Retailing,1963,290000
BNP Paribas,Banking,2000,202876
Nippon Telegraph &amp; Tel,Drugs &amp; Biotechnology,1886,132200
HSBC Holdings,Banking,1850,235000
Bank of Communications,Banking,1908,88906
TD Bank Group,Banking,1855,85000
Goldman Sachs Group,Diversified Financials,1869,38300
Morgan Stanley,Diversified Financials,1924,60431
Pfizer,Drugs & Biotechnology,1849,88300
Tencent Holdings,IT Software & Services,1998,62885
IBM,IT Software & Services,1911,383800
Mitsubishi UFJ Financial,Banking,2012,119390
General Electric,Conglomerates,1892,205000
Santander,Banking,1857,196419
Anheuser-Busch InBev,"Food, Drink & Tobacco",2008,171915
Industrial Bank,Banking,1988,63044
Reliance Industries,Oil & Gas Operations,1973,194056
Sony,Consumer Durables,1946,114400
Sinopec,Oil & Gas Operations,2000,402206
Chevron,Oil & Gas Operations,1879,48200
Siemens,Conglomerates,1847,385000
Cigna,Drugs & Biotechnology,1792,73700
AXA Group,Insurance,1859,99843
Shanghai Pudong Development,Banking,1992,58253
AIA Group,Insurance,1919,23000
Softbank,Telecommunications Services,1981,76866
Novartis,Drugs & Biotechnology,1996,103914
Deutsche Telekom,Telecommunications Services,1995,210533
Petrobras,Oil & Gas Operations,1953,57983
Procter &amp; Gamble,Household &amp; Personal Products,1837,97000
Japan Post Holdings,Insurance,1871,245922
Roche Holding,Drugs & Biotechnology,1896,97735
BMW Group,Consumer Durables,1916,133778
Zurich Insurance Group,Insurance,1872,54030
CITIC,Trading Companies,1979,287910
China State Construction Engineering,Construction,1957,335038
MetLife,Insurance,1868,49000
Sumitomo Mitsui Financial,Banking,2002,86659
Cisco Systems,Technology Hardware & Equipment,1984,75900
Honda Motor,Consumer Durables,1949,219722
Commonwealth Bank,Banking,1911,48238
Bank of Nova Scotia,Banking,1832,101813
Raytheon Technologies,Aerospace & Defense,2020,243200
PepsiCo,"Food, Drink & Tobacco",1965,267000
American Express,Diversified Financials,1850,64500
General Motors,Consumer Durables,1908,164000
China Minsheng Bank,Banking,1996,58900
British American Tobacco,"Food, Drink & Tobacco",1902,59989
BHP Group,Materials,1885,80000
Oracle,IT Software & Services,1977,136000
Brookfield Asset Management,Diversified Financials,1997,151900
Coca-Cola,"Food, Drink & Tobacco",1886,86200
Enel,Utilities,1962,68253
GlaxoSmithKline,Drugs & Biotechnology,2000,99437
China Vanke,Construction,1984,131505
Banco Bradesco,Banking,1943,97321
Bayer,Drugs & Biotechnology,1863,103824
US Bancorp,Banking,1929,69651
Mitsubishi,Trading Companies,1954,79994
Anthem,Drugs & Biotechnology,2004,70600
Home Depot,Retailing,1978,415700
BASF,Chemicals,1865,117628
Taiwan Semiconductor,Semiconductors,1987,48752
UBS,Banking,1862,68601
Unilever,Household & Personal Products,1929,149867
Country Garden Holdings,Construction,1992,101784
EDF,Utilities,1955,164727
China Citic Bank,Banking,2014,57045
Rio Tinto,Materials,1873,46007
Lloyds Banking Group,Banking,1985,77754
Prudential Financial,Diversified Financials,1875,51511
Sanofi,Drugs & Biotechnology,2004,100409
Credit Agricole,Banking,2000,75423
AbbVie,Drugs & Biotechnology,2013,30000
Iberdrola,Utilities,1901,28750
Hon Hai Precision,Technology Hardware & Equipment,1974,1000000
KDDI,Telecommunications Services,1984,41996
Enbridge,Oil & Gas Operations,1949,11300
Manulife,Insurance,1887,35000
Intesa Sanpaolo,Banking,1925,88682
CNOOC,Oil & Gas Operations,1999,18703
Dell Technologies,Technology Hardware & Equipment,1984,165000
Medtronic,Health Care Equipment & Services,1949,90000
China Pacific Insurance,Insurance,1991,111247
SAIC Motor,Consumer Durables,1995,216360
Bank of Montreal,Banking,1817,45513
Caterpillar,Capital Goods,1925,102300
Chubb,Insurance,1882,33000
Itochu,Trading Companies,1858,119796
Walgreens Boots Alliance,Retailing,1901,342000
VINCI,Construction,1899,222397
Bristol-Myers Squibb,Drugs & Biotechnology,1933,30000
PNC Financial Services,Banking,1845,51918
Generali Group,Insurance,1831,71936
Visa,Business Services & Supplies,1958,19500
Costco Wholesale,Retailing,1983,254000
United Parcel Service,Transportation,1907,495000
Duke Energy,Utilities,1904,28793
Lockheed Martin,Aerospace & Defense,1912,110000
HDFC Bank,Banking,1994,116971
Allstate,Insurance,1931,46290
China Everbright Bank,Banking,1992,45618
Charter Communications,Media,1993,95100
SAP,IT Software & Services,1972,100330
Tokio Marine Holdings,Insurance,2002,40848
CK Hutchison,Conglomerates,2014,30000
Honeywell International,Conglomerates,1927,113000
China Evergrande Group,Construction,2006,125526
American International Group,Insurance,1919,46000
Orange,Telecommunications Services,1988,135619
Abbott Laboratories,Health Care Equipment & Services,1888,107000
Credit Suisse Group,Banking,1856,47860
Capital One Financial,Business Services & Supplies,1994,51900
Amgen,Drugs & Biotechnology,1980,23400
Truist Financial,Banking,1872,59000
ANZ,Banking,1835,39060
Equinor,Oil & Gas Operations,1972,21412
Mitsui,Trading Companies,1947,43993
Oversea-Chinese Banking,Banking,1932,29706
China Shenhua Energy,Materials,2004,75620
Exelon,Utilities,2000,32713
State Bank of India,Banking,1955,257252
Poly Developments &amp; Holdings Group,Construction,1992,56811
China Telecom,Telecommunications Services,2002,281215
Southern Company,Utilities,1912,27943
BlackRock,Diversified Financials,1988,16200
Linde,Chemicals,1907,79886
Canadian Imperial Bank,Banking,1867,45157
NextEra Energy,Utilities,1925,13900
Barclays,Banking,1896,80800
Union Pacific,Transportation,1862,37483
Thermo Fisher Scientific,Health Care Equipment & Services,1983,75000
Deutsche Post,Transportation,1995,499461
Gilead Sciences,Drugs & Biotechnology,1987,11800
Phillips 66,Oil & Gas Operations,2012,14500
Mondelez International,"Food, Drink & Tobacco",2012,80000
Hyundai Motor,Consumer Durables,1967,70032
Broadcom,Semiconductors,1991,19000
Legal &amp; General Group,Insurance,1836,10971
ING Group,Diversified Financials,1991,56196
3M,Conglomerates,1902,96163
Target,Retailing,1902,368000
Marathon Petroleum,Oil & Gas Operations,1887,60910
Hitachi,Conglomerates,1959,295941
Progressive,Insurance,1937,41571
DBS,Banking,1999,28000
ConocoPhillips,Oil & Gas Operations,1875,10400
UniCredit,Banking,1870,94514
Philip Morris International,"Food, Drink & Tobacco",1847,73500
China Railway Group,Construction,2007,282256
Accenture,IT Software & Services,1989,492000
Munich Re,Insurance,1880,39662
